Age,Attrition,BusinessTravel,DailyRate,Department,EducationField,EmployeeNumber,Gender,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears
41,Yes,Travel_Rarely,1102,Sales,Life Sciences,1,Female,2,Sales Executive,4,5993,19479,8,Yes,11,3,1,8
49,No,Travel_Frequently,279,Research & Development,Life Sciences,2,Male,2,Research Scientist,2,5130,24907,1,No,23,4,4,10
37,Yes,Travel_Rarely,1373,Research & Development,Other,4,Male,1,Laboratory Technician,3,2090,2396,6,Yes,15,3,2,7
33,No,Travel_Frequently,1392,Research & Development,Life Sciences,5,Female,1,Research Scientist,3,2909,23159,1,Yes,11,3,3,8
27,No,Travel_Rarely,591,Research & Development,Medical,7,Male,1,Laboratory Technician,2,3468,16632,9,No,12,3,4,6
32,No,Travel_Frequently,1005,Research & Development,Life Sciences,8,Male,1,Laboratory Technician,4,3068,11864,0,No,13,3,3,8
59,No,Travel_Rarely,1324,Research & Development,Medical,10,Female,1,Laboratory Technician,1,2670,9964,4,Yes,20,4,1,12
30,No,Travel_Rarely,1358,Research & Development,Life Sciences,11,Male,1,Laboratory Technician,3,2693,13335,1,No,22,4,2,1
38,No,Travel_Frequently,216,Research & Development,Life Sciences,12,Male,3,Manufacturing Director,3,9526,8787,0,No,21,4,2,10
36,No,Travel_Rarely,1299,Research & Development,Medical,13,Male,2,Healthcare Representative,3,5237,16577,6,No,13,3,2,17
35,No,Travel_Rarely,809,Research & Development,Medical,14,Male,1,Laboratory Technician,2,2426,16479,0,No,13,3,3,6
29,No,Travel_Rarely,153,Research & Development,Life Sciences,15,Female,2,Laboratory Technician,3,4193,12682,0,Yes,12,3,4,10
31,No,Travel_Rarely,670,Research & Development,Life Sciences,16,Male,1,Research Scientist,3,2911,15170,1,No,17,3,4,5
34,No,Travel_Rarely,1346,Research & Development,Medical,18,Male,1,Laboratory Technician,4,2661,8758,0,No,11,3,3,3
28,Yes,Travel_Rarely,103,Research & Development,Life Sciences,19,Male,1,Laboratory Technician,3,2028,12947,5,Yes,14,3,2,6
